record_id,external_station_id,candidate_rank,match_score,score_margin,match_method,distance_m,operator_match,postcode_match,address_token_overlap,shared_address_token_count,power_compatible,input_operator,external_operator,input_address,input_power_kw,input_plug_count,external_title,external_address_line_1,external_address_line_2,external_town,external_postcode,connector_types,external_power_kw_values,external_connection_quantity,external_number_of_points,external_status,external_usage_type,external_usage_cost,external_last_verified,data_provider,suggested_decision,suggested_reason,review_decision,review_notes
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,259692,9,8,,rejected_candidate,721484.1,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Evie Chelsea,1 Swansea Rd,,Chelsea,3196,CCS (Type 2) | CHAdeMO,50,4,1,Operational,Public,$0.40 per kWh. Parking overstay charges may apply,2023-07-06T20:53:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,272632,10,4,,rejected_candidate,957.6,True,False,0.0,0,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Civic Plaza 88 Christie,88 Christie St,,St Leonards,2065,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public - Membership Required,,2023-07-15T12:12:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,191165,11,4,,rejected_candidate,1849.1,True,False,0.0,0,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Evie Lane Cove,2 Rosenthal Ave,“The Canopy”,Lane Cove,,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public - Membership Required,$0.40/kWh,2023-07-15T12:03:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,272694,12,4,,rejected_candidate,2007.8,True,False,0.0,0,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Northbridge Plaza,9 Eastern Valley Way,,Northbridge,2063,CCS (Type 2) | CHAdeMO,50,4,1,Operational,Public - Membership Required,,2023-07-16T23:09:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,272613,13,2,,rejected_candidate,157.0,False,False,0.0,0,False,Evie,Chargefox,"1 Frederick St, Sydney, 2064",150.0,6,TLE Electrical Artarmon,65 Reserve Road,,St Leonards,2065,CCS (Type 2) | CHAdeMO,22,2,1,Operational,Public - Membership Required,$0.30/kWh,2023-07-15T07:52:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,266872,14,1,,rejected_candidate,2452.9,False,False,0.0,0,True,Evie,Chargefox,"1 Frederick St, Sydney, 2064",150.0,6,Chatswood Chase Chargefox,345 Victoria Avenue,,Chatswood,2067,CCS (Type 2),120,2,2,Operational,Public - Membership Required,$0.45/kWh,2023-07-13T08:44:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_f8d92dcfda9ce8e22ab18f90fc33cff3019d784d034813f807d58e99af30f680,272688,1,16,16,operator_postcode_address,125.5,True,True,1.0,3,True,Evie,Evie,"1 Ingham Dr, Casula NSW 2170",50.0,4,Casula Mall,1 Ingham Dr,,Casula,2170,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public - Membership Required,,2023-07-16T22:04:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_7cde3d4e59cd084712a54481b1dd4295c6fd2f3ab426b9fa8c291f5893d98880,260392,1,14,14,operator_postcode_address,792873.6,True,True,1.0,2,True,NRMA,NRMA,"1 Little Walker St, Casino, NSW 2470, Australia",50.0,4,Little Walker Street,Little Walker Street,,,2470,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public,,2023-04-23T10:48:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_493afb89ec4116e7dfe20763aa68c152e55b9e5cf1370f36d15e0307fd5aa3a8,192929,1,18,6,operator_postcode_address,5.7,True,True,1.0,2,True,JOLT,Jolt,"1 Park St, Sydney, 2103",25.0,2,Mona Vale library carpark [JOLT],1 Park St,,Mona Vale,2103,CHAdeMO | CCS (Type 2),25,2,1,Operational,Public - Membership Required,"First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time",2023-02-11T08:43:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_493afb89ec4116e7dfe20763aa68c152e55b9e5cf1370f36d15e0307fd5aa3a8,190757,2,12,,rejected_candidate,63.9,True,True,0.0,0,True,JOLT,Jolt,"1 Park St, Sydney, 2103",25.0,2,Mona Vale [JOLT],2 Bungan St,,Mona Vale,2103,CCS (Type 2) | CHAdeMO,25,2,1,Operational,Public - Membership Required,$0.00/kWh up to 7 kWh then $0.46/kWh,2023-02-11T08:43:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_493afb89ec4116e7dfe20763aa68c152e55b9e5cf1370f36d15e0307fd5aa3a8,272615,3,0,,rejected_candidate,2277.4,False,False,0.0,0,False,JOLT,Chargefox,"1 Park St, Sydney, 2103",25.0,2,ENGIE - Warriewood Square,12 Jacksons Road,,Warriewood,2101,CCS (Type 2),120,2,2,Operational,Public - Membership Required,$0.45/kWh,2023-07-15T07:59:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_d0bdc7857cb7d9eb465b9c75066a9ca66743c7fff663acad913f516209bf7541,190706,1,13,3,operator_postcode_address,318.0,True,True,0.5,2,True,Evie,Evie,"1 Perry St, Batemans Bay, 2536",75.0,4,Dan Murphy's,51 Orient Street,,Batemans Bay,2536,CCS (Type 2) | CHAdeMO,50,2,1,Operational,Public - Membership Required,50c per kWh energy consumed.,2023-07-12T22:38:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_d0bdc7857cb7d9eb465b9c75066a9ca66743c7fff663acad913f516209bf7541,157566,2,10,,rejected_candidate,138.4,False,True,0.5,2,True,Evie,NRMA,"1 Perry St, Batemans Bay, 2536",75.0,4,Batemans Bay Visitor Centre [NRMA],2A Beach Road,,Batemans Bay,2536,CCS (Type 2) | CHAdeMO,50,2,1,Operational,Public,,2021-12-19T02:29:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_d0bdc7857cb7d9eb465b9c75066a9ca66743c7fff663acad913f516209bf7541,209950,3,9,,rejected_candidate,337.0,False,True,0.5,2,True,Evie,NRMA,"1 Perry St, Batemans Bay, 2536",75.0,4,Batemans Bay Regional Arts Aquatic & Leisure Centre [NRMA],12 Vesper Street,,Batemans Bay,2536,CHAdeMO | CCS (Type 2),75,4,2,Operational,Public - Membership Required,FREE,2022-11-16T10:13:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
